GENE_ID	BP_SIMILARITY	CC_SIMILARITY	MF_SIMILARITY	NB_ISOFORM
ENSG00000165195	1.000	1.000	1.000	12
ENSG00000087842	1.000	1.000	1.000	2
ENSG00000102010	1.000	1.000	1.000	3
ENSG00000130234	1.000	1.000	1.000	10
ENSG00000147003	1.000	1.000	1.000	2
ENSG00000169239	1.000	1.000	1.000	4
ENSG00000169249	1.000	1.000	1.000	5
ENSG00000182287	0.966	0.955	1.000	11
ENSG00000182798	1.000	1.000	NA	2
ENSG00000047230	1.000	1.000	1.000	4
ENSG00000086712	1.000	1.000	1.000	2
ENSG00000102054	1.000	1.000	1.000	8
ENSG00000169891	1.000	1.000	1.000	2
ENSG00000188158	1.000	1.000	NA	5
ENSG00000047634	1.000	1.000	1.000	5
ENSG00000131831	1.000	1.000	1.000	6
ENSG00000177324	NA	NA	1.000	2
ENSG00000102098	1.000	1.000	1.000	4
ENSG00000008086	0.965	0.972	0.993	10
ENSG00000086717	1.000	1.000	1.000	10
ENSG00000173698	1.000	1.000	1.000	10
ENSG00000131828	1.000	0.994	0.925	8
ENSG00000180815	1.000	NA	1.000	2
ENSG00000147010	0.951	1.000	0.970	34
ENSG00000173681	1.000	1.000	1.000	4
ENSG00000184368	1.000	1.000	NA	4
ENSG00000173674	1.000	1.000	1.000	2
ENSG00000177189	1.000	0.992	1.000	15
ENSG00000149970	1.000	1.000	1.000	19
ENSG00000091482	NA	NA	NA	3
ENSG00000012174	1.000	1.000	1.000	2
ENSG00000102172	1.000	1.000	1.000	3
ENSG00000102174	1.000	1.000	1.000	6
ENSG00000165186	1.000	1.000	NA	2
ENSG00000123131	1.000	1.000	1.000	4
ENSG00000123130	1.000	1.000	1.000	6
ENSG00000130066	1.000	1.000	1.000	3
ENSG00000184831	1.000	1.000	NA	6
ENSG00000165182	NA	NA	NA	3
ENSG00000174010	1.000	1.000	1.000	6
ENSG00000130741	1.000	1.000	1.000	2
ENSG00000005889	1.000	1.000	1.000	7
ENSG00000223731	1.000	1.000	1.000	2
ENSG00000067992	1.000	1.000	1.000	3
ENSG00000102230	1.000	1.000	1.000	4
ENSG00000101868	1.000	1.000	1.000	4
ENSG00000004848	1.000	1.000	1.000	2
ENSG00000189186	1.000	1.000	NA	3
ENSG00000177689	1.000	1.000	1.000	2
ENSG00000198798	1.000	1.000	1.000	2
ENSG00000214107	1.000	1.000	NA	3
ENSG00000169297	1.000	1.000	1.000	2
ENSG00000198814	0.822	0.931	0.983	12
ENSG00000157625	1.000	1.000	1.000	5
ENSG00000198947	1.000	1.000	1.000	42
ENSG00000189023	1.000	1.000	NA	5
ENSG00000165164	1.000	0.991	1.000	5
ENSG00000130962	NA	1.000	1.000	7
ENSG00000147036	1.000	1.000	NA	3
ENSG00000165168	1.000	1.000	1.000	4
ENSG00000165169	1.000	1.000	1.000	3
ENSG00000147041	1.000	1.000	1.000	2
ENSG00000101955	1.000	1.000	1.000	4
ENSG00000156313	0.821	0.984	1.000	15
ENSG00000036473	1.000	1.000	1.000	2
ENSG00000156298	NA	1.000	1.000	5
ENSG00000165175	1.000	1.000	1.000	4
ENSG00000183337	0.979	1.000	0.906	14
ENSG00000182220	0.999	1.000	1.000	23
ENSG00000185753	NA	NA	1.000	3
ENSG00000180182	1.000	1.000	1.000	3
ENSG00000124486	1.000	1.000	1.000	12
ENSG00000215301	1.000	1.000	1.000	37
ENSG00000188937	1.000	1.000	1.000	2
ENSG00000147044	0.888	0.916	0.947	21
ENSG00000171659	1.000	1.000	1.000	3
ENSG00000189221	1.000	1.000	1.000	6
ENSG00000124479	NA	NA	NA	2
ENSG00000147050	1.000	1.000	1.000	22
ENSG00000147113	1.000	1.000	1.000	2
ENSG00000147121	1.000	1.000	1.000	6
ENSG00000251192	1.000	1.000	1.000	4
ENSG00000065923	1.000	1.000	1.000	2
ENSG00000102221	1.000	1.000	1.000	4
ENSG00000130988	1.000	1.000	1.000	4
ENSG00000147123	1.000	1.000	1.000	6
ENSG00000182872	0.968	1.000	1.000	4
ENSG00000130985	1.000	1.000	1.000	8
ENSG00000102225	1.000	1.000	1.000	13
ENSG00000102226	1.000	1.000	1.000	4
ENSG00000147124	1.000	NA	1.000	4
ENSG00000078061	1.000	1.000	1.000	2
ENSG00000008056	1.000	1.000	1.000	4
ENSG00000102265	1.000	1.000	1.000	5
ENSG00000126759	1.000	1.000	1.000	4
ENSG00000126767	1.000	1.000	1.000	3
ENSG00000126756	1.000	1.000	1.000	3
ENSG00000197779	NA	NA	NA	4
ENSG00000147118	1.000	1.000	1.000	2
ENSG00000171489	1.000	1.000	1.000	2
ENSG00000221994	1.000	NA	1.000	8
ENSG00000165583	1.000	1.000	1.000	2
ENSG00000165584	1.000	1.000	1.000	3
ENSG00000268009	1.000	1.000	1.000	2
ENSG00000269791	1.000	1.000	1.000	2
ENSG00000017483	1.000	1.000	1.000	10
ENSG00000068438	1.000	1.000	1.000	3
ENSG00000102312	1.000	1.000	1.000	11
ENSG00000147155	1.000	1.000	1.000	3
ENSG00000068354	1.000	1.000	1.000	3
ENSG00000102317	1.000	1.000	1.000	3
ENSG00000101940	1.000	1.000	1.000	6
ENSG00000015285	1.000	1.000	1.000	5
ENSG00000101945	1.000	1.000	1.000	2
ENSG00000171433	NA	NA	NA	2
ENSG00000102145	0.999	1.000	1.000	6
ENSG00000094631	1.000	1.000	1.000	30
ENSG00000187682	1.000	1.000	1.000	2
ENSG00000102103	1.000	1.000	1.000	13
ENSG00000126768	1.000	1.000	0.875	8
ENSG00000102100	1.000	1.000	1.000	18
ENSG00000102096	1.000	1.000	1.000	2
ENSG00000068308	1.000	1.000	1.000	5
ENSG00000102057	0.983	1.000	1.000	3
ENSG00000068400	1.000	1.000	0.987	66
ENSG00000068323	1.000	1.000	1.000	2
ENSG00000147144	1.000	1.000	1.000	6
ENSG00000243279	1.000	1.000	1.000	2
ENSG00000196998	0.947	0.892	0.930	29
ENSG00000269313	NA	NA	NA	7
ENSG00000102007	1.000	1.000	1.000	2
ENSG00000012211	1.000	1.000	1.000	5
ENSG00000102003	1.000	1.000	1.000	5
ENSG00000102001	1.000	1.000	1.000	4
ENSG00000049768	0.999	0.918	0.916	8
ENSG00000049769	1.000	1.000	1.000	6
ENSG00000236362	NA	NA	1.000	2
ENSG00000205777	NA	NA	1.000	2
ENSG00000101951	NA	NA	NA	2
ENSG00000171365	1.000	1.000	1.000	9
ENSG00000147081	1.000	1.000	1.000	4
ENSG00000147082	0.978	1.000	1.000	5
ENSG00000158352	1.000	1.000	1.000	3
ENSG00000122824	1.000	1.000	1.000	2
ENSG00000179222	1.000	1.000	1.000	4
ENSG00000187243	1.000	1.000	1.000	7
ENSG00000154545	1.000	1.000	1.000	5
ENSG00000204379	NA	NA	NA	2
ENSG00000204382	NA	NA	NA	3
ENSG00000241476	0.757	0.873	0.658	2
ENSG00000268447	0.757	0.873	0.658	3
ENSG00000171405	NA	NA	1.000	2
ENSG00000171402	NA	NA	1.000	2
ENSG00000179304	NA	1.000	1.000	7
ENSG00000268350	NA	1.000	1.000	18
ENSG00000184194	1.000	1.000	1.000	2
ENSG00000184205	1.000	1.000	1.000	3
ENSG00000126012	0.971	1.000	0.995	13
ENSG00000124313	1.000	1.000	1.000	18
ENSG00000072501	1.000	0.991	0.990	6
ENSG00000158423	NA	NA	1.000	4
ENSG00000072506	1.000	1.000	1.000	4
ENSG00000086758	0.980	1.000	1.000	10
ENSG00000172943	1.000	0.930	0.998	15
ENSG00000184083	NA	1.000	1.000	3
ENSG00000196632	1.000	1.000	1.000	3
ENSG00000130119	1.000	1.000	1.000	9
ENSG00000102316	1.000	1.000	NA	8
ENSG00000067445	0.981	0.987	1.000	18
ENSG00000158571	1.000	1.000	1.000	4
ENSG00000158578	1.000	1.000	1.000	8
ENSG00000238269	NA	NA	NA	2
ENSG00000234068	NA	NA	NA	3
ENSG00000182518	NA	NA	NA	7
ENSG00000158639	NA	NA	NA	3
ENSG00000204279	NA	NA	1.000	2
ENSG00000247746	0.861	1.000	0.978	2
ENSG00000083750	0.936	0.930	0.920	3
ENSG00000102349	1.000	1.000	1.000	4
ENSG00000204272	NA	NA	NA	4
ENSG00000204271	1.000	0.990	1.000	43
ENSG00000186787	1.000	1.000	1.000	5
ENSG00000147059	1.000	1.000	1.000	3
ENSG00000131089	1.000	0.989	1.000	36
ENSG00000126970	1.000	1.000	1.000	8
ENSG00000102053	NA	1.000	1.000	3
ENSG00000001497	1.000	1.000	1.000	12
ENSG00000147065	1.000	1.000	1.000	6
ENSG00000155659	1.000	1.000	1.000	5
ENSG00000089472	1.000	1.000	1.000	14
ENSG00000131080	0.890	1.000	0.875	4
ENSG00000169083	1.000	0.989	1.000	7
ENSG00000079482	1.000	1.000	1.000	8
ENSG00000181704	1.000	1.000	1.000	3
ENSG00000130052	1.000	1.000	1.000	4
ENSG00000181191	1.000	1.000	1.000	6
ENSG00000158813	1.000	1.000	1.000	8
ENSG00000147160	1.000	1.000	1.000	2
ENSG00000089289	1.000	1.000	1.000	2
ENSG00000120500	1.000	1.000	1.000	3
ENSG00000120509	NA	NA	NA	5
ENSG00000147127	1.000	1.000	1.000	3
ENSG00000130055	1.000	0.993	0.793	4
ENSG00000082458	0.978	0.991	0.920	4
ENSG00000120498	1.000	1.000	1.000	4
ENSG00000165349	1.000	1.000	1.000	2
ENSG00000147164	0.982	1.000	1.000	4
ENSG00000184481	1.000	1.000	1.000	2
ENSG00000204165	NA	NA	NA	2
ENSG00000285171	1.000	1.000	1.000	5
ENSG00000147168	1.000	1.000	1.000	4
ENSG00000184634	1.000	1.000	1.000	26
ENSG00000196338	1.000	1.000	1.000	15
ENSG00000169562	1.000	1.000	1.000	11
ENSG00000147130	1.000	1.000	1.000	7
ENSG00000147140	1.000	1.000	1.000	22
ENSG00000147166	1.000	1.000	1.000	2
ENSG00000147133	0.972	1.000	0.942	18
ENSG00000147162	1.000	1.000	0.994	12
ENSG00000147174	1.000	1.000	1.000	2
ENSG00000186810	1.000	1.000	1.000	2
ENSG00000283599	NA	NA	NA	2
ENSG00000204131	1.000	NA	1.000	4
ENSG00000242732	1.000	1.000	1.000	2
ENSG00000102309	1.000	1.000	1.000	9
ENSG00000186871	1.000	1.000	1.000	2
ENSG00000125931	1.000	1.000	1.000	11
ENSG00000285547	1.000	1.000	1.000	2
ENSG00000147099	1.000	1.000	1.000	50
ENSG00000067177	1.000	1.000	1.000	5
ENSG00000184911	1.000	1.000	1.000	7
ENSG00000225396	NA	NA	NA	2
ENSG00000269502	1.000	1.000	1.000	4
ENSG00000283594	NA	NA	NA	2
ENSG00000275520	NA	NA	NA	2
ENSG00000204116	NA	1.000	NA	4
ENSG00000147100	1.000	1.000	1.000	3
ENSG00000131263	1.000	1.000	1.000	2
ENSG00000050030	1.000	1.000	NA	3
ENSG00000131269	1.000	1.000	1.000	12
ENSG00000094841	0.981	0.957	0.969	6
ENSG00000102383	1.000	1.000	1.000	2
ENSG00000102390	NA	NA	1.000	2
ENSG00000085224	1.000	1.000	1.000	15
ENSG00000102158	1.000	1.000	1.000	11
ENSG00000131174	0.841	0.908	NA	4
ENSG00000165240	1.000	1.000	1.000	40
ENSG00000102144	1.000	1.000	1.000	2
ENSG00000173198	1.000	1.000	1.000	2
ENSG00000147145	1.000	1.000	1.000	3
ENSG00000078589	1.000	1.000	1.000	2
ENSG00000078596	1.000	1.000	1.000	2
ENSG00000122145	1.000	1.000	1.000	3
ENSG00000174016	1.000	NA	1.000	2
ENSG00000198157	1.000	1.000	1.000	6
ENSG00000183035	1.000	1.000	1.000	2
ENSG00000072133	1.000	1.000	1.000	2
ENSG00000165259	1.000	1.000	1.000	4
ENSG00000184788	1.000	NA	1.000	5
ENSG00000147180	0.924	0.876	0.981	4
ENSG00000124429	1.000	1.000	1.000	2
ENSG00000188419	1.000	1.000	1.000	2
ENSG00000126733	1.000	1.000	1.000	7
ENSG00000102271	NA	1.000	1.000	3
ENSG00000147183	NA	NA	NA	3
ENSG00000153779	1.000	1.000	1.000	2
ENSG00000174740	NA	1.000	1.000	2
ENSG00000102290	0.406	0.753	1.000	7
ENSG00000186310	1.000	1.000	1.000	2
ENSG00000179083	NA	NA	1.000	3
ENSG00000147202	1.000	1.000	1.000	2
ENSG00000165194	1.000	1.000	1.000	5
ENSG00000000003	1.000	1.000	1.000	2
ENSG00000102359	1.000	1.000	1.000	4
ENSG00000102362	1.000	1.000	1.000	5
ENSG00000101811	1.000	1.000	1.000	4
ENSG00000007952	1.000	1.000	1.000	5
ENSG00000182489	NA	1.000	NA	2
ENSG00000174225	1.000	1.000	1.000	4
ENSG00000188917	1.000	1.000	1.000	4
ENSG00000102384	1.000	1.000	NA	8
ENSG00000102385	1.000	1.000	1.000	5
ENSG00000102387	1.000	1.000	1.000	3
ENSG00000126953	1.000	1.000	1.000	3
ENSG00000010671	0.997	1.000	1.000	22
ENSG00000241343	1.000	1.000	1.000	6
ENSG00000257529	1.000	1.000	1.000	2
ENSG00000102393	0.916	1.000	1.000	12
ENSG00000196440	NA	1.000	NA	5
ENSG00000198960	NA	1.000	NA	3
ENSG00000102401	1.000	1.000	1.000	5
ENSG00000184867	NA	1.000	NA	8
ENSG00000166432	NA	1.000	1.000	3
ENSG00000184905	1.000	1.000	1.000	2
ENSG00000204071	1.000	1.000	1.000	2
ENSG00000184515	1.000	1.000	1.000	2
ENSG00000268235	1.000	1.000	1.000	4
ENSG00000269405	1.000	1.000	1.000	2
ENSG00000269437	1.000	1.000	1.000	2
ENSG00000284800	NA	NA	NA	4
ENSG00000215029	1.000	1.000	1.000	5
ENSG00000125962	NA	NA	1.000	6
ENSG00000198932	1.000	1.000	NA	5
ENSG00000158301	1.000	1.000	1.000	5
ENSG00000198908	1.000	1.000	1.000	5
ENSG00000147206	1.000	1.000	1.000	2
ENSG00000102409	1.000	1.000	1.000	2
ENSG00000180964	1.000	1.000	1.000	3
ENSG00000133134	1.000	1.000	1.000	4
ENSG00000182916	NA	NA	NA	2
ENSG00000185222	NA	NA	NA	3
ENSG00000166681	NA	1.000	1.000	4
ENSG00000172476	1.000	1.000	1.000	2
ENSG00000133142	0.941	NA	0.981	11
ENSG00000196507	1.000	1.000	1.000	3
ENSG00000172465	1.000	1.000	1.000	3
ENSG00000123562	1.000	1.000	1.000	8
ENSG00000123560	1.000	1.000	1.000	9
ENSG00000158427	NA	NA	NA	5
ENSG00000101812	NA	1.000	1.000	3
ENSG00000269226	NA	NA	NA	2
ENSG00000166707	NA	1.000	1.000	2
ENSG00000268629	NA	NA	1.000	2
ENSG00000123572	1.000	0.890	0.996	4
ENSG00000123561	1.000	1.000	1.000	2
ENSG00000157502	NA	1.000	NA	3
ENSG00000147231	1.000	1.000	1.000	4
ENSG00000133135	1.000	1.000	1.000	3
ENSG00000133138	1.000	1.000	1.000	6
ENSG00000147223	1.000	1.000	1.000	2
ENSG00000165376	1.000	1.000	1.000	3
ENSG00000133131	NA	1.000	1.000	3
ENSG00000089682	1.000	0.988	0.983	5
ENSG00000198088	1.000	1.000	1.000	4
ENSG00000080572	1.000	1.000	1.000	4
ENSG00000147234	1.000	1.000	1.000	5
ENSG00000147224	1.000	1.000	1.000	22
ENSG00000157514	1.000	NA	NA	18
ENSG00000170935	1.000	1.000	1.000	2
ENSG00000080561	0.999	0.994	0.984	3
ENSG00000101842	1.000	1.000	1.000	3
ENSG00000101843	0.929	1.000	0.665	5
ENSG00000101844	1.000	1.000	1.000	6
ENSG00000197565	1.000	1.000	1.000	5
ENSG00000188153	1.000	1.000	1.000	7
ENSG00000133124	1.000	1.000	1.000	2
ENSG00000101888	1.000	1.000	1.000	4
ENSG00000068366	1.000	1.000	1.000	12
ENSG00000157600	1.000	1.000	NA	4
ENSG00000101935	NA	1.000	1.000	4
ENSG00000133136	1.000	1.000	1.000	2
ENSG00000243978	NA	NA	NA	3
ENSG00000101938	0.989	1.000	1.000	5
ENSG00000077264	0.841	0.865	0.976	9
ENSG00000077279	0.909	0.746	0.903	13
ENSG00000101901	1.000	NA	1.000	28
ENSG00000204025	NA	NA	NA	3
ENSG00000187823	1.000	NA	1.000	3
ENSG00000126016	1.000	1.000	0.972	4
ENSG00000147246	1.000	1.000	1.000	3
ENSG00000123496	1.000	1.000	1.000	2
ENSG00000130224	NA	NA	1.000	2
ENSG00000102021	1.000	1.000	1.000	2
ENSG00000102024	1.000	1.000	1.000	8
ENSG00000180772	1.000	1.000	1.000	2
ENSG00000003096	0.937	0.987	1.000	7
ENSG00000131725	1.000	1.000	1.000	4
ENSG00000147251	1.000	1.000	1.000	4
ENSG00000131724	1.000	1.000	1.000	3
ENSG00000175556	NA	1.000	1.000	5
ENSG00000250423	NA	1.000	NA	2
ENSG00000101856	1.000	1.000	1.000	2
ENSG00000077721	1.000	1.000	1.000	10
ENSG00000018610	1.000	1.000	NA	3
ENSG00000186416	1.000	1.000	1.000	3
ENSG00000125354	1.000	1.000	1.000	7
ENSG00000125351	1.000	1.000	1.000	2
ENSG00000186471	NA	1.000	1.000	4
ENSG00000101882	1.000	1.000	1.000	2
ENSG00000282933	NA	NA	NA	2
ENSG00000101883	1.000	1.000	1.000	2
ENSG00000177485	1.000	1.000	1.000	2
ENSG00000125355	1.000	1.000	NA	5
ENSG00000101892	1.000	1.000	1.000	3
ENSG00000005893	1.000	1.000	1.000	5
ENSG00000158290	1.000	0.995	1.000	25
ENSG00000232119	1.000	1.000	1.000	2
ENSG00000171155	1.000	1.000	1.000	2
ENSG00000125675	1.000	0.925	0.943	5
ENSG00000125676	1.000	1.000	1.000	11
ENSG00000101966	1.000	1.000	1.000	4
ENSG00000101972	1.000	1.000	1.000	16
ENSG00000183918	NA	1.000	NA	10
ENSG00000009694	1.000	1.000	1.000	2
ENSG00000282815	NA	NA	1.000	3
ENSG00000102038	1.000	0.994	1.000	3
ENSG00000122126	1.000	1.000	1.000	8
ENSG00000188706	1.000	1.000	1.000	4
ENSG00000156697	1.000	1.000	1.000	3
ENSG00000085185	1.000	1.000	1.000	5
ENSG00000102034	1.000	1.000	1.000	3
ENSG00000156709	1.000	1.000	1.000	25
ENSG00000056277	1.000	1.000	1.000	2
ENSG00000102078	0.950	0.980	1.000	7
ENSG00000147262	1.000	1.000	1.000	2
ENSG00000134597	1.000	1.000	1.000	2
ENSG00000165675	1.000	1.000	1.000	6
ENSG00000147256	1.000	1.000	1.000	6
ENSG00000147255	1.000	1.000	1.000	11
ENSG00000134602	1.000	0.991	1.000	5
ENSG00000165694	1.000	1.000	0.631	3
ENSG00000123728	0.583	0.912	0.952	3
ENSG00000076770	1.000	1.000	1.000	13
ENSG00000171004	1.000	0.954	1.000	5
ENSG00000134588	1.000	1.000	1.000	2
ENSG00000147257	0.997	0.971	0.907	7
ENSG00000203952	NA	NA	NA	3
ENSG00000156531	1.000	0.993	1.000	11
ENSG00000156504	NA	1.000	1.000	6
ENSG00000156500	NA	NA	1.000	16
ENSG00000101928	1.000	1.000	1.000	3
ENSG00000224107	NA	NA	NA	2
ENSG00000169551	1.000	1.000	NA	2
ENSG00000186376	1.000	1.000	1.000	2
ENSG00000238210	NA	NA	NA	2
ENSG00000173275	1.000	1.000	1.000	2
ENSG00000165359	1.000	1.000	1.000	2
ENSG00000268940	NA	NA	1.000	2
ENSG00000269096	NA	NA	1.000	2
ENSG00000228836	NA	NA	1.000	3
ENSG00000278289	NA	NA	1.000	2
ENSG00000271449	NA	NA	NA	2
ENSG00000273696	NA	NA	1.000	2
ENSG00000278085	NA	NA	NA	2
ENSG00000270946	NA	NA	NA	2
ENSG00000269586	NA	NA	1.000	3
ENSG00000181433	1.000	1.000	NA	2
ENSG00000169446	1.000	1.000	1.000	4
ENSG00000198689	0.953	0.973	0.946	14
ENSG00000022267	1.000	1.000	1.000	31
ENSG00000129680	1.000	1.000	1.000	4
ENSG00000156920	1.000	1.000	1.000	3
ENSG00000102241	1.000	1.000	1.000	4
ENSG00000102243	1.000	1.000	1.000	3
ENSG00000102245	1.000	1.000	1.000	4
ENSG00000129675	1.000	1.000	1.000	3
ENSG00000147274	0.981	0.970	1.000	8
ENSG00000156925	1.000	1.000	1.000	2
ENSG00000129682	0.540	0.713	0.929	8
ENSG00000101981	1.000	1.000	1.000	2
ENSG00000101977	1.000	1.000	1.000	9
ENSG00000101974	1.000	1.000	1.000	7
ENSG00000165509	NA	NA	1.000	4
ENSG00000155495	1.000	1.000	1.000	2
ENSG00000189326	NA	NA	NA	2
ENSG00000179542	1.000	1.000	1.000	3
ENSG00000185985	1.000	1.000	1.000	2
ENSG00000102081	0.927	0.984	0.980	27
ENSG00000176988	NA	1.000	NA	2
ENSG00000155966	1.000	1.000	1.000	5
ENSG00000010404	1.000	1.000	1.000	6
ENSG00000241489	1.000	1.000	1.000	2
ENSG00000197620	NA	NA	NA	11
ENSG00000267978	1.000	1.000	1.000	4
ENSG00000269556	NA	1.000	1.000	8
ENSG00000185247	1.000	1.000	1.000	3
ENSG00000156009	1.000	1.000	1.000	3
ENSG00000197021	NA	NA	NA	6
ENSG00000013619	1.000	1.000	NA	9
ENSG00000171100	1.000	1.000	1.000	19
ENSG00000063601	1.000	1.000	1.000	12
ENSG00000102181	1.000	1.000	1.000	7
ENSG00000029993	1.000	1.000	1.000	5
ENSG00000160131	0.900	1.000	NA	2
ENSG00000130032	NA	1.000	1.000	9
ENSG00000147378	1.000	1.000	1.000	2
ENSG00000147381	1.000	1.000	1.000	18
ENSG00000102287	1.000	1.000	1.000	3
ENSG00000124260	1.000	1.000	1.000	6
ENSG00000011677	1.000	1.000	1.000	2
ENSG00000221867	1.000	1.000	1.000	3
ENSG00000268902	1.000	1.000	1.000	2
ENSG00000183305	1.000	1.000	1.000	9
ENSG00000198930	1.000	1.000	NA	4
ENSG00000213401	1.000	1.000	1.000	3
ENSG00000268606	1.000	1.000	1.000	10
ENSG00000268916	1.000	1.000	1.000	2
ENSG00000197172	1.000	1.000	1.000	4
ENSG00000147383	1.000	1.000	1.000	3
ENSG00000147394	NA	NA	0.915	11
ENSG00000198883	1.000	1.000	1.000	4
ENSG00000183837	1.000	1.000	1.000	3
ENSG00000063587	1.000	1.000	1.000	3
ENSG00000214897	NA	NA	NA	2
ENSG00000183479	1.000	1.000	1.000	7
ENSG00000213397	1.000	1.000	1.000	3
ENSG00000182492	1.000	1.000	1.000	2
ENSG00000067842	1.000	1.000	1.000	10
ENSG00000262919	1.000	1.000	1.000	9
ENSG00000130829	1.000	1.000	1.000	2
ENSG00000130822	1.000	0.982	1.000	16
ENSG00000130821	1.000	1.000	1.000	6
ENSG00000185825	1.000	1.000	1.000	10
ENSG00000101986	1.000	1.000	1.000	2
ENSG00000198753	1.000	1.000	1.000	5
ENSG00000184343	1.000	1.000	1.000	8
ENSG00000067829	1.000	1.000	1.000	7
ENSG00000180879	NA	1.000	NA	4
ENSG00000067840	1.000	1.000	1.000	4
ENSG00000198910	1.000	1.000	1.000	10
ENSG00000284987	NA	NA	NA	2
ENSG00000126895	1.000	1.000	1.000	5
ENSG00000089820	0.976	1.000	1.000	14
